
2024/07/25 (23:31:09) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/26 (01:04:30) | ===> btop++ v.1.3.0
2024/07/26 (01:04:30) | INFO: Logger set to INFO
2024/07/26 (01:04:30) | INFO: Running on /dev/pts/4
2024/07/26 (01:04:31) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/26 (01:33:07) | ===> btop++ v.1.3.0
2024/07/26 (01:33:07) | INFO: Logger set to INFO
2024/07/26 (01:33:07) | INFO: Running on /dev/pts/1
2024/07/26 (01:33:08) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/07/26 (01:33:24) | INFO: Quitting! Runtime: 00:00:17

2024/07/26 (01:34:23) | ===> btop++ v.1.3.0
2024/07/26 (01:34:23) | INFO: Logger set to INFO
2024/07/26 (01:34:23) | INFO: Running on /dev/pts/1
2024/07/26 (01:34:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/07/26 (01:34:41) | INFO: Quitting! Runtime: 00:00:18

2024/07/26 (01:39:55) | ===> btop++ v.1.3.0
2024/07/26 (01:39:55) | INFO: Logger set to INFO
2024/07/26 (01:39:55) | INFO: Running on /dev/pts/1
2024/07/26 (01:39:56) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/07/26 (01:45:42) | INFO: Quitting! Runtime: 00:05:47

2024/07/26 (09:50:05) | ===> btop++ v.1.3.0
2024/07/26 (09:50:05) | INFO: Logger set to INFO
2024/07/26 (09:50:05) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2024/07/26 (09:50:05) | INFO: Quitting! Runtime: 00:00:00

2024/07/26 (09:58:54) | ===> btop++ v.1.3.0
2024/07/26 (09:58:54) | INFO: Logger set to INFO
2024/07/26 (09:58:54) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2024/07/26 (09:58:54) | INFO: Quitting! Runtime: 00:00:00

2024/07/26 (10:00:38) | ===> btop++ v.1.3.0
2024/07/26 (10:00:38) | INFO: Logger set to INFO
2024/07/26 (10:00:38) | INFO: Running on /dev/pts/3
2024/07/26 (10:00:39) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/26 (10:42:28) | ===> btop++ v.1.3.0
2024/07/26 (10:42:28) | INFO: Logger set to INFO
2024/07/26 (10:42:28) | INFO: Running on /dev/pts/1
2024/07/26 (10:42:29) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/26 (10:57:31) | ===> btop++ v.1.3.0
2024/07/26 (10:57:31) | INFO: Logger set to INFO
2024/07/26 (10:57:31) | INFO: Running on /dev/pts/4
2024/07/26 (10:57:32) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/26 (11:41:41) | ===> btop++ v.1.3.0
2024/07/26 (11:41:41) | INFO: Logger set to INFO
2024/07/26 (11:41:41) | INFO: Running on /dev/pts/2
2024/07/26 (11:41:42) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/26 (12:58:59) | ===> btop++ v.1.3.0
2024/07/26 (12:58:59) | INFO: Logger set to INFO
2024/07/26 (12:58:59) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2024/07/26 (12:58:59) | INFO: Quitting! Runtime: 00:00:00

2024/07/26 (17:34:52) | ===> btop++ v.1.3.0
